,Number_of_beds,Number_of_hospitals,State,County,Urban_Rural_Code,Deaths_COVID,Deaths_total,never,rarely,sometimes,frequently,always,mask_score,total_population,white_total_pct,black_total_pct,aian_total_pct,asian_total_pct,nhopi_total_pct,multiracial_total_pct
112,25.0,1.0,WA,Kittitas,Micropolitan,21,306,0.032,0.084,0.033,0.179,0.672,3.375,46573.0,92.2,1.0,1.17,2.17,0.17,3.3
113,42.0,2.0,WA,Klickitat,,0,0,0.038,0.0289999999999999,0.113,0.288,0.532,3.2470000000000003,22431.0,92.87,0.57,2.22,0.82,0.11,3.42
114,158.0,2.0,WA,Lewis,Micropolitan,18,821,0.033,0.1119999999999999,0.128,0.111,0.616,3.165,79481.0,92.11,0.77,1.91,1.21,0.24,3.75
115,73.0,2.0,WA,Lincoln,,0,0,0.017,0.086,0.023,0.108,0.765,3.516,10960.0,94.55,0.43,1.81,0.54,0.07,2.6
116,25.0,1.0,WA,Mason,Micropolitan,10,533,0.011,0.024,0.091,0.152,0.721,3.546,64980.0,87.58,1.26,4.58,1.51,0.48,4.6
117,90.0,3.0,WA,Okanogan,Noncore,21,348,0.042,0.066,0.075,0.1989999999999999,0.617,3.281,42731.0,82.07,0.64,12.33,0.99,0.3,3.66
118,30.0,2.0,WA,Pacific,,0,0,0.0819999999999999,0.016,0.128,0.063,0.7120000000000001,3.309,21640.0,89.95,0.93,2.73,2.42,0.12,3.84
119,75.0,1.0,WA,Pend Oreille,,0,0,0.027,0.122,0.052,0.212,0.5870000000000001,3.2100000000000004,13742.0,91.02,0.58,3.89,0.89,0.16,3.46
120,1648.0,8.0,WA,Pierce,Large fringe metro,316,"7,650",0.0279999999999999,0.057,0.103,0.206,0.606,3.305,888303.0,73.88,7.69,1.63,7.29,1.71,7.8
121,10.0,1.0,WA,San Juan,,0,0,0.015,0.004,0.021,0.2289999999999999,0.73,3.653,17152.0,94.06,0.57,0.94,1.53,0.12,2.78
122,205.0,3.0,WA,Skagit,Small metro,38,"1,301",0.035,0.0969999999999999,0.037,0.177,0.653,3.314,129200.0,90.13,0.99,2.8,2.37,0.32,3.38
123,0.0,0.0,WA,Skamania,,0,0,0.019,0.048,0.092,0.08,0.76,3.512,12060.0,92.88,0.51,1.67,1.14,0.17,3.63
124,845.0,4.0,WA,Snohomish,Large fringe metro,284,"5,600",0.017,0.0139999999999999,0.0559999999999999,0.191,0.721,3.583,818702.0,77.91,3.23,1.56,11.53,0.61,5.17
125,1478.0,6.0,WA,Spokane,Medium metro,344,"5,751",0.033,0.057,0.08,0.151,0.679,3.386,515252.0,88.62,1.98,1.73,2.63,0.59,4.44
126,95.0,2.0,WA,Stevens,,0,0,0.05,0.039,0.069,0.257,0.585,3.288,45570.0,88.93,0.46,5.72,0.78,0.2,3.91
127,500.0,2.0,WA,Thurston,Medium metro,56,"2,537",0.022,0.051,0.109,0.132,0.685,3.405,285803.0,81.63,3.23,1.59,6.46,0.97,6.12
128,0.0,0.0,WA,Wahkiakum,,0,0,0.045,0.057,0.079,0.161,0.6579999999999999,3.33,4191.0,93.18,0.43,1.43,0.93,0.19,3.84
129,87.0,1.0,WA,Walla Walla,Small metro,38,651,0.083,0.022,0.061,0.193,0.6409999999999999,3.2869999999999995,62201.0,91.44,2.18,1.37,1.7,0.4,2.91
130,253.0,1.0,WA,Whatcom,Small metro,63,"1,881",0.042,0.0279999999999999,0.061,0.122,0.747,3.504,225300.0,86.46,1.23,3.23,4.48,0.33,4.26
131,50.0,2.0,WA,Whitman,Micropolitan,21,269,0.002,0.009,0.049,0.31,0.629,3.553,50131.0,81.9,1.99,0.84,10.51,0.23,4.52
132,460.0,4.0,WA,Yakima,Small metro,266,"2,239",0.012,0.035,0.069,0.143,0.74,3.5620000000000003,255952.0,87.29,1.51,5.88,1.7,0.22,3.4
